year,state,violent_crime_rate,property_crime_rate,murder_rate,rape_rate,robbery_rate,aggravated_assault_rate,burglary_rate,larceny_theft_rate,motor_vehicle_theft_rate
1993,Alabama,780.4,4098.4,11.6,35.1,159.5,574.3,1088.6,2672,337.8
1993,Alaska,760.8,4807.2,9,83.8,122.4,545.6,816.9,3539.4,450.9
1993,Arizona,715,6716.7,8.6,37.8,162.9,505.7,1465.5,4387.4,863.8
1993,Arkansas,593.3,4217.5,10.2,42.4,124.9,415.8,1099.3,2795.7,322.5
1993,California,1077.8,5379.1,13.1,37.7,405.1,621.8,1327,3029.1,1023
1993,Colorado,567.3,4959.5,5.8,45.8,116.7,399,1009.8,3499.4,450.3
1993,Connecticut,456.2,4194.2,6.3,24.4,196.7,228.7,978.1,2620.6,595.5
1993,Delaware,685.9,4186.3,5,77,186.7,417.1,892,2979,315.3
1993,District of Columbia,2921.8,8839.3,78.5,56.1,1229.6,1557.6,1995.5,5449,1394.8
1993,Florida,1206,7145,8.9,53.8,357.6,785.7,1835.4,4413.9,895.7
1993,Georgia,723.1,5469.8,11.4,35.4,248,428.3,1307.3,3568.7,593.8
1993,Hawaii,261.2,6015.8,3.8,33.6,103.6,120.1,1135.7,4429.4,450.8
1993,Idaho,281.8,3563.3,2.9,35.3,16.9,226.7,668.8,2711.1,183.4
1993,Illinois,959.7,4658.2,11.4,34.6,381.2,532.6,1015.5,3084,558.7
1993,Indiana,489.1,3976,7.5,39.1,119.8,322.6,852,2695.9,428.1
1993,Iowa,325.5,3521,2.3,24.4,53.9,244.8,730.7,2599.4,190.8
1993,Kansas,496.4,4478.9,6.4,40.1,123.6,326.3,1132.2,3024,322.7
1993,Kentucky,462.7,2797,6.6,34.3,90.4,331.4,740.1,1840.7,216.2
1993,Louisiana,1061.7,5784.9,20.3,42.3,283.6,715.4,1368.3,3802.9,613.7
1993,Maine,125.7,3028.2,1.6,26.6,21.3,76.3,719,2174.7,134.4
1993,Maryland,997.8,5108.7,12.7,44,434.7,506.4,1132.8,3292.5,683.4
1993,Massachusetts,804.9,4089,3.9,33.4,175.7,592,1001.7,2271.3,816.1
1993,Michigan,791.5,4661,9.8,71.1,238.5,472.1,982.7,3063.2,615
1993,Minnesota,353.9,4059,3.4,61.9,112.7,175.8,844.5,2872,342.6
1993,Mississippi,433.9,3984.4,13.5,42.6,139.3,238.4,1285.8,2363.5,335.1
1993,Missouri,744.4,4351,11.3,36.2,241.8,455.2,1025.5,2777.8,547.7
1993,Montana,177.5,4612.5,3,27.9,32.4,114.2,714.2,3652.1,246.2
1993,Nebraska,377.8,3903.2,3.9,27.8,62.4,283.6,663.5,2912.9,326.8
1993,Nevada,875.2,5304.9,10.4,60.9,340.1,463.9,1245,3321.6,738.3
1993,New Hampshire,137.8,2767.2,2,44.4,27.3,64.1,515.1,2058,194
1993,New Jersey,626.9,4174,5.3,28.1,296,297.5,974,2486.1,714
1993,New Mexico,929.7,5336.4,8,52.1,138.4,731.1,1421.2,3510.1,405.1
1993,New York,1073.5,4477.8,13.3,27.5,561.2,471.5,998.6,2644.2,835
1993,North Carolina,679.3,4973,11.3,34.3,192.4,441.3,1515.8,3168.8,288.5
1993,North Dakota,82.2,2738.1,1.7,23.5,8.3,48.7,373.2,2216.2,148.7
1993,Ohio,504.1,3981.2,6,49.1,192.7,256.3,878.1,2667.7,435.3
1993,Oklahoma,634.8,4659.4,8.4,49.3,121.8,455.3,1235,2943.7,480.7
1993,Oregon,503.1,5262.5,4.6,51.3,129.6,317.6,1024.8,3656.9,580.7
1993,Pennsylvania,417.5,2853.9,6.8,26.5,179,205.1,582,1831.7,440.2
1993,Rhode Island,401.7,4097.3,3.9,28.6,101.1,268.1,1040.9,2410.1,646.3
1993,South Carolina,1023.4,4880,10.3,52.3,187.3,773.4,1309.2,3226.8,344
1993,South Dakota,208.4,2749.8,3.4,44.5,15,145.6,549.2,2086,114.5
1993,Tennessee,765.8,4473.8,10.2,49.9,220.1,485.5,1182.6,2700.2,591
1993,Texas,762.1,5677,11.9,55,224.4,470.8,1297.3,3687.3,692.3
1993,Utah,301,4936.3,3.1,44.6,58.6,194.7,790.8,3903.4,242.2
1993,Vermont,114.2,3858.2,3.6,39.8,9,61.8,874.3,2851.2,132.6
1993,Virginia,372.2,3743.3,8.3,32.1,142,189.8,667.7,2790.1,285.5
1993,Washington,514.6,5437.7,5.2,64.4,137.1,307.9,1067.2,3914.4,456.1
1993,West Virginia,208.4,2324.2,6.9,20.1,43,138.5,599.1,1563.5,161.5
1993,Wisconsin,264.4,3789.7,4.4,25.2,113.4,121.4,663,2762,364.7
1993,Wyoming,286.2,3876.8,3.4,34.3,17.2,231.3,643.2,3078.7,154.9
